,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
10,Law No. 04-09 relative to Renewable Energy Promotion in the Framework of Sustainable Development,"Builds on the general commitments outlined in Law No. 99-09 relative to the Management of Energy, laying the foundations for a requisite 'national programme to support renewable energy within the context of sustainable development.'<br />
<br />
Codifies Algeria's environmental mission to: promote the domestic development of renewable energy sources, to curb climate change by limiting GHG emissions, and to encourage sustainable development via the conservation and preservation of fossil fuel resources. Consistent with this mission, this law establishes a National Observatory/Centre for the Promotion of Renewable Energy.<br />
<br />
Serves as the framework for the Ministry of Energy and Mines detailed Renewable Energy and Energy Efficiency Programme (2011-2030), released in March 2011, which establishes specific quantitative targets for renewables.",legislative,Algeria,DZA,Mitigation and adaptation,"Research And Development, Energy Supply",14/08/2004 | Law passed
11,Executive Decree No. 2004-92 On the Diversification of Power Generation Costs,"Further details the procedures governing a feed-in tariff mechanism to encourage renewable energy development, diversifying Algeria's national energy mix, pursuant to Law 02-01 (5 February 2002) establishing a legal framework for a feed-in-tariff scheme.<br />
<br />
This tariff provides for an additional premium to be paid, per kWh, to eligible renewable and co-generation facilities, above the base price for electricity in Algeria. Institutes specific tariffs, which vary by generation technology, that are certain percentages above the market price for electricity. Eligible technologies include: hydropower, wind, solar, solar thermal from solar-gas hybrid systems, waste to energy, and cogeneration of steam/water.",executive,Algeria,DZA,No,Energy Supply,25/03/2004 | Law passed
12,Law 99-09 relative to the Management of Energy,"Establishes the framework and conditions for the National Programme for the Management of Energy, outlining parameters for: efficient consumption, energy conservation/energy efficiency, the reduction of GHG emissions and general air pollution, the education of both government agencies and the populace regarding energy efficiency, and the development of renewable energy technologies and sources inclusive of solar, geothermal, hydropower, and biomass.<br />
<br />
Authorises the use of financial incentives for projects and investments in energy efficiency and renewable energy, in addition to establishing the parameters for: (i) energy efficient building standards, (ii) a mandatory energy auditing system for industry, transport, and service sectors, and (iii) sanctions for non-compliance.<br />
<br />
Establishes a National Fund for Energy Management, supported by taxes on domestic energy consumption, state subsidies, and fines for non-compliance pursuant to this law.",legislative,Algeria,DZA,,"Research And Development, Energy Supply, Energy Demand",28/07/1999 | Law passed
13,Presidential Decrees 17/14 and 92/18 on the National Institution of Meteorology and Geophysics (INAMET),"This Presidential Decree 17/14 approves the Modernisation Programme of the National Institution of Meteorology and Geophysics (INAMET) and the Strategic Development Plan (PDE) for the period 2014-2020. This Modernisation Programme establishes INAMET's inter-ministerial interest. INAMET should deal with climate change, and also civil protection, agriculture, environment, fisheries, water resources, oil, industry, transports, civil construction and energy.

The Presidential Decree 92/18 approves the contract (Commercial Agreement) for the implementation of the Modernisation Project of the National Institute of Meteorology and Geophysics (INAMET) and presents the contract of the project which shall implement a Strategic Development Plan (PDE) aimed at strengthening INAMET's service capacity to meet the growing needs of the general public. The modernisation will be carried out over four years (2017-2021), which consists of an implementation period of three years and one year of support. Part of the modernisation includes the development of a National Centre for Climate and a training program called Treinamet.",executive,Angola,AGO,No,"Transportation, Research And Development, Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",13/01/2014 | Law passed ; 11/04/2018 | Law amended
14,Presidential Decree 88/13 which approves the Strategic Plan for New Environmental Technologies,"This Presidential Decree approves the Strategic Plan for New Environmental Technologies. This Plan aims at protecting, preserving and conserving environmental quality standards, controlling environmental pollution as well as conservation areas, including the valorisation of natural heritage its preservation and rational use of renewable natural resources. It explicitly takes into consideration the commitments assumed by Angola within the UNFCCC. It calls for the implementation of environmental technologies which can optimize the use of natural resources, energy efficiency and promote sustainable development.",executive,Angola,AGO,No,"Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",14/06/2013 | Law passed
15,Executive Decree 65/13 which approves the Regulation of the National Direction of Petroleum and Biofuel,"This Executive Decree approves the Regulation of the National Direction of Petroleum and Biofuel within the Ministry of Petroleum. The Regulation establishes composition, duties and responsibilities of the National Direction, entitled to promoting the implementation of the National Policy on Petroleum, for activities related to licensing, exploitation, development and production of petroleum, including processing and biofuel production. The Biofuels Department is in charge of updating and proposing new legislation to regulate the production of biofuels, as well as supervising research, licencing of biofuel production, and establishing incentive mechanisms for biofuel production.",executive,Angola,AGO,No,"Research And Development, Institutions / Administrative Arrangements, Energy Supply",15/03/2013 | Law passed
16,Presidential Decree 184/12 which creates and approves the Statute of the Centre of Tropical Ecology and Climate Change (CETAC),"This Presidential Decree creates and approves the Statute of the Centre of Tropical Ecology and Climate Change (CETAC). This Statute establishes CETAC's composition, duties and responsibilities. CETAC is entitled to carry out researches and investigations in the domain of the tropical ecology and management of natural ecosystems to support the designing and implementation of environment preservation policies and programmes, in order to improve the life conditions of populations through a rational use of water and climatic resources. CETAC's climate change department is responsible for implementing the control of climate change policies. With this objective, CETAC may: develop models to study climate variations; monitor the effects of climate change on air quality, water and soil; develop studies about the interactions between climate change and forests, tropical ecosystems; implement projects to estimate GHG emissions and identify areas for promoting reduction of GHG emissions and CO2 sequestration; develop projects to investigate possible perceptions, adaptation and mitigation strategies; analyse the effects of climate change over different living beings, ecosystem services, Earth processes and tropical ecosystems.",executive,Angola,AGO,No,"Research And Development, Redd+ And Lulucf, Institutions / Administrative Arrangements, Adaptation",17/08/2012 | Law passed
17,Presidential Order 10/12 which creates the National Committee on Climate Change and Biodiversity,"This Presidential Order creates the National Committee on Climate Change and Biodiversity. It creates it as an inter-ministerial Committee, establishing its duties and responsibilities. The Committee is responsible for harmonising the programmes and policies for the implementation of the National Climate Change and Biodiversity Strategies; creating the necessary conditions for the implementation of the National Climate Change Plan; creating a national plan for investments integrating issues related to climate change, biodiversity and desertification; and creating centres of excellence to carry out research on natural disasters and systematic observation and investigation of climate (Article 2). The Presidential Order also establishes that every trimester the Co-ordinator of the Committee shall present to the Minister of the Environment a detailed report regarding the activities undertaken by the Committee.",executive,Angola,AGO,Mitigation and Adaptation,"Research And Development, Institutions / Administrative Arrangements",01/02/2012 | Law passed
18,Law 06/10 on sugar cane production for biofuel,"This Law regulates sugar cane production for biofuel purposes. It establishes the general basis for promoting the sugar cane cultivation and other plants in order to exploit their products, in particular with the purpose of biofuel production. Under this law, foreign companies which invest in biofuels must sell to state-owned oil firm Sonangol part of their biofuels production to satisfy Angola's internal consumption needs. It also states that foreign companies must provide local people with medical assistance and access to water and other basic resources in the land they are using to produce biofuels.

The <a href=""http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Biofuels_res.pdf"">Ministerial Decision No. 117/10</a> creates the Technical Group for the implementation of the Strategy for the Development of Biofuels, provided for in Law on Biofuels No. 6/10 of 23 April of 2010. The Technical Group is composed by members of the Ministry of Energy and Water, Ministry of Justice, Ministry of Agriculture, Ministry of Environment, and a representative of geology, mines and industry. It must provide support to the Biofuels Commission in the framework of the Biofuels Law.",legislative,Angola,AGO,No,"Research And Development, Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply",23/04/2010 | Law passed
19,"Resolution 52/08, establishing the National Strategy for the Implementation of UNFCCC and the Kyoto Protocol","Resolution 52/08 approved the National Implementation Strategy for the UNFCCC and the Kyoto Protocol. The Strategy requires that the government: (i) elaborates GHG inventories and reports about their impact on the environment and on public health; (ii) adopts programmes and projects to mitigate the effects of climate change; (iii) promotes technical/professional awareness; (iv) fosters international cooperation, particularly transfer of knowledge and experiences; (v) promotes the use of clean technologies; (vi) implement the Conventionâ€˜s and the Protocolâ€˜s commitments; (vii) creates a structure and appropriate instruments for the management of Kyoto Protocolâ€˜s flexible mechanisms. Out of these activities, Angola submitted its Initial National Communication to UNFCCC in 2012. The communication contains the national GHG inventory. The GHG inventory comprises the following sectors: energy, industrial processes, agriculture, forestry, land use and waste. The government also established a Designated National Authority in 2009. Beyond that, education, awareness rising and investigation actions are being conducted. The Action Plan, which should have followed the approval of the strategy, was not prepared.<br />
<br />
The National Strategy discusses the possibilities and opportunities that Angola has as a result of joining the Kyoto Protocol as well as the flexible mechanisms that can be used, especially in the case of Angola, the Clean Development Mechanism (CDM).<br />
<br />
The Resolution sets the intervention framework for Angola in the legislative, technical and human domains. This framework should contribute to the stabilisation of GHG emissions and technological development of the country. The National Implementation Strategy comprises: generating reports and inventories about GHG emissions in Angola and their impact on the environment and public health; producing programmes and projects with measures to mitigate the effects of climate change; developing technical and professional training actions in areas related to climate change; fostering international co-operation within the context of climate change, particularly in terms of transfer of knowledge, experience and technology; and instituting the Designated National Authority (DNA) under the Ministry of the Environment as the entity responsible for coordinating inter-sectoral efforts for the implementation of UNFCCC in the country on the issues related to CDM. The DNA had its attributions defined through Government Order 2/10, being responsible for the execution of all CDM actions pertaining to the implementation of UNFCCC in the country.",executive,Angola,AGO,No,"Research And Development, Redd+ And Lulucf, Institutions / Administrative Arrangements, Energy Supply",05/06/2008 | Law passed
20,Law 26473 Prohibiting commercialisation of incandescent light bulbs,"Prohibits the importation and commercialisation of incandescent light bulbs for residential<br />
use throughout the country.",legislative,Argentina,ARG,,Energy Demand,31/12/2010 | Law passed
21,Decree 140/2007: Presidential decree declaring rational and efficient energy use a national priority,"This decree has far-reaching and ambitious goals to reduce energy consumption and promote the use of renewable energy in the public sector (including public transport and lighting), private industry and private residencies.<br />
<br />
The decree's main purpose is to announce a National Program for Rational and Efficient Energy Use, to guarantee funding for the program in the federal budget, to name the Energy Secretary as the main authority for implementing the plan and to create a federal commission to oversee and monitor progress.<br />
<br />
This Policy stipulates that 8% of all electric energy consumption must come from renewable sources by 2016.<br />
<br />
The National Programme for Rational and Efficient Energy Use is divided into actions to be realised in the 1) short term and 2) medium and long terms.<br />
<br />
In the short term (30 days from implementation) the commission is to initiate a 'massive' public education campaign about energy efficiency, take necessary measures to manage the replacement of incandescent light bulbs with energy efficient bulbs in all private residences in the country, begin work to rate the energy efficiency of all electric appliances, improve the energy efficiency in all sectors of public administration and promote agreements with energy providers, national universities and business associations to improve energy efficiency in private sectors.<br />
<br />
In the medium to long term, the actions are further subdivided by sectors:<br />
- Industry: formulate a strategy to increase competitiveness by reducing energy costs; work to monitor and improve energy efficiency with those corporations that voluntarily participate in the programme; disseminate and replicate the program; facilitate energy efficiency technology within the private sector; offer financing to small and medium companies who voluntarily invest in energy saving technology<br />
- Commercial and Service Sectors: tailor an energy efficiency programme to the specific circumstances of office buildings, retail shops, hotels, restaurants, commercial banks etc.; develop efficiency standards for the consumption of energy (lighting, heating and air-conditioning, food storage)<br />
- Education: incorporate energy efficiency and renewable energy themes into pre-existing curricula at primary and secondary education levels; develop postgraduate programs focussing on energy efficiency at national universities<br />
- Cogeneration: develop a plan to promote and regulate the cogeneration of electricity and heat with new and existing energy providing companies<br />
- Energy efficiency standards and labelling: designate maximum and minimum standards of energy efficiency for electric appliances and machines produced or commercialised in the country; propose a timeline to ban the production, importation and commercialisation of incandescent light bulbs<br />
- Public lighting: implement system technologies to make public street lighting and traffic lights more energy efficient<br />
- Transportation: improve the management and distribution of public transportation in regards to energy consumption; with corresponding authorities develop minimum stanÂ¬dards of efficiency for new automobiles; initiate a monitoring and maintenance program for public vehicles, commercial transportation vehicles and taxis and limouÂ¬sines; design a public education campaign about the impacts of the excessive driving of automobiles<br />
- Residences: initiate a system of energy certification for newly constructed residences in co-operation with construction-industry associations, architect associations and universities; introduce energy efficiency as an indicator of construction quality in the academic departments of engineering and architecture; indicate maximum energy consumption guides for new homes based on regional geographies; optimise solar energy in new construction projects; incentivise reduction of energy consumption in existing residences; develop a strategy to design 'massive systems' of water heating using solar technology<br />
- Climate Change-Clean Development Mechanism (CDM): evaluate the role of<br />
CDM, including international carbon markets, in supporting energy efficiency projects; develop a plan to take advantage of international sources of financing and technological co-operation; promote the CDM in public and private entities that could have a role in identifying new energy efficiency projects",executive,Argentina,ARG,Adaptation,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",21/12/2007 | Law passed
22,Law 26.123 (2006) Promotion of Hydrogen Energy,"The law declares the technological development, the production of, and the use of hydrogen fuel, as well as other alternative energy sources, a matter of national interest.<br />
<br />
The executive power will determine the federal organisation responsible for developing a National Programme for Hydrogen, which will have among its objectives: develop and strengthen the technological and scientific research into alternative energy sources; incenÂ¬tivise the application of hydrogen energy technology; incentivise the participation of the private sector in the generation and production of hydrogen energy where it strengthens the national industry; promote the regional co-operation and technology transfer between MERCOSUR member-countries; develop a plan to educate the general public about the necessity to diminish contamination of the national environment and the importance of alternative energy use; incentivise the industrialisation of hydrogen fuel cells; and promote links between state entities, university research centres and private industry in the interest of a national industry of hydrogen energy.<br />
<br />
The objectives will be realised primarily through the creation of The National Fund of Hydrogen Promotion (FONHIDRO), which will depend on the national fiscal budget and which will also oversee various tax exemptions and deductions for participating firms.",legislative,Argentina,ARG,No,"Research And Development, Institutions / Administrative Arrangements, Energy Supply",25/08/2006 | Law passed
23,National Decree 1070/05 (2005) Creation of the Argentine Carbon Fund,"National Decree 1070/05 has the single purpose of creating the National Argentine Carbon Fund (FAC) and to incentivise projects within the framework of The Clean Development Mechanism, as defined by Article 12 of the Kyoto Protocol. The fund is administered by the Secretary of Environment and Sustainable Development.",executive,Argentina,ARG,Mitigation and Adaptation,Institutions / Administrative Arrangements,05/09/2005 | Law passed
24,Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,This law is an early precursor to 2010 legislation promoting renewable energy. It declares wind and solar power a national interest and created the Renewable Energy Fund to encourage production.,legislative,Argentina,ARG,,"Research And Development, Energy Supply",19/10/1998 | Law passed
25,Carbon Farming Initiative Amendment Bill 2014,"This bill establishes the Emissions Reduction Fund, and provides a transition for the Carbon Farming Initiative by amending the Carbon Credits (Carbon Farming Initiative) Act 2011 to provide for the Clean Energy Regulator to conduct auctions and enter into contracts to purchase emissions reductions; enable a broader range of emissions reduction projects to be approved; and amend the project eligibility criteria and processes for approving projects and crediting carbon credit units.<br />
<br />
The Carbon Credits (Carbon Farming Initiative) Act 2011 set up a scheme for the issue of Australian Carbon Credit Units (ACCUs) in relation to eligible offsets projects. It was part of a package of three Acts to establish the Carbon Farming Initiative, including the Australian National Registry of Emissions Units Act 2011 and the Carbon Credits (Consequential Amendments) Act 2011. The package of Acts established the existence of ACCUs as personal property, which are generally transferable, and can be sold domestically or internationally subject to regulation.",legislative,Australia,AUS,,Carbon Pricing,13/12/2014 | Law passed
26,Greenhouse and Energy Minimum Standards Act 2012,"The Act promotes the development and adoption of products that use less energy, produce fewer GHGs, or contribute to the reducing of energy or GHGs produced by other products. It is also intended to give effect to Australia's obligations under the UNFCCC.<br />
<br />
It establishes greenhouse and energy minimum standards (GEMS) that are to be applied to the supply and commercial use of products that either use energy, or affect the energy used by another product. The specific GEMS are provided for by requirements in Ministerial determinations. A GEMS register is established to ensure products comply with GEMS. An associated act is the Greenhouse and Energy Minimum Standards (Registration Fees) Instrument 2013 (No. 2) which specifies the fees payable under the 2012 act.",legislative,Australia,AUS,Mitigation and adaptation,Energy Demand,21/09/2012 | Law passed
27,Clean Energy Finance Corporation Act 2012,"The Act establishes the Clean Energy Finance Corporation to facilitate increased flows of finance into the clean energy sector. The main function of the corporation is to invest its funds (USD2bnper annum until 2017) into clean energy technologies.<br />
<br />
A Clean Energy Finance Corporation (Abolition) Bill 2014 is currently before the House of Representatives which would abolish the Clean Energy Finance Corporation. This bill would also amend the Australian Renewable Energy Agency Act 2011 and Clean Energy Regulator Act 2011 to make amendments consequent on the repeal. As part of the process to ensure the passage of the Carbon Farming Initiative Amendment Bill 2014, the government has announced it will not bring this bill back to parliament in 2014; however it may do so in 2015 or beyond.",legislative,Australia,AUS,,Energy Supply,22/07/2012 | Law passed
28,Australian National Registry of Emissions Units Act 2011,"The Act establishes the Australian National Registry of Emissions Units and details the specifics of its operation, such as the operation of Registry accounts. The Act was most recently amended in late 2014 to account for amendments necessary to account for the passing of the Carbon Farming Initiative Amendment Act 2014.",legislative,Australia,AUS,Mitigation,"Institutions / Administrative Arrangements, Carbon Pricing",15/09/2011 | Law passed
29,Climate Change Authority Act 2011,"The Act establishes the Climate Change Authority which is required to conduct reviews under other acts such as the Renewable Energy (Electricity) Act 2000 and conduct research about matters relating to climate change. While discharging its functions, the Climate Change Authority is to have regard to the principle that any measure to respond to climate change must:<br />
- Be economically efficient;<br />
- Be environmentally effective;<br />
- Be equitable;<br />
- Be in the public interest;<br />
- Take account of the impact on households, business, workers and communities;<br />
- Support the development of an effective global response to climate change; and<br />
- Be consistent with Australia's foreign policy and trade objectives;<br />
<br />
A bill to abolish the Climate Change Authority was rejected in the Senate in March 2014, but a second version of the bill, the Climate Change Authority (Abolition) Bill 2013 [No. 2], is currently before the Senate. However, as part of the process to ensure the passage of the Carbon Farming Initiative Amendment Bill 2014, the government has announced it would abandon its pre-election pledge to scrap the Climate Change Authority. As such, the Climate Change Authority (Abolition) Bill 2013 [No. 2] is currently on hold.",legislative,Australia,AUS,No,"Research And Development, Institutions / Administrative Arrangements",29/11/2011 | Law passed
30,National Strategy on Energy Efficiency,"The National Strategy on Energy Efficiency (NSEE) provides the overarching framework for energy efficiency policy. It is designed to substantially improve minimum standards for energy efficiency and accelerate the introduction of new technologies through improving regulatory processes and addressing the barriers to the uptake of new energy-efficient products and technologies. It also aims to encourage and support innovation in energy efficient technologies and approaches.<br />
<br />
It is based on four key themes:<br />
- Assisting households and businesses to transition to a low-carbon future;<br />
- Reducing impediments to the uptake of energy efficiency;<br />
- Making buildings more energy efficient; and<br />
- Government working in partnership and leading the way.",executive,Australia,AUS,,Energy Demand,01/07/2010 | Law passed
31,Energy Efficiency Act,"The Act was designed to reduce energy consumption in Austria. In 2006, the EU had set a binding target for all member states to increase their energy efficiency by 20% by 2020. The Act targets lower consumption by energy providers, large companies and government agencies with the aim of increasing Austria's energy efficiency by 1.5% per annum, starting in 2014.",legislative,Austria,AUT,No,Energy Demand,11/08/2014 | Law passed
32,Climate Protection Act,"The Act lays down GHG emission thresholds for six sectors not covered under the EU ETS for the period 2008-2012 and the period 2013-2020 - waste, energy and industry not covered under the EU ETS, fluorinated gas, buildings, agriculture, and transportation. Article 4 creates a National Climate Protection Committee, comprised of representatives of the LÃ¤nder, federal ministries involved in climate change (Environment, Finance, Economic, Transport, Health, and Justice) and representatives from trade unions, industry, and agricultural associations.",legislative,Austria,AUT,No,Institutions / Administrative Arrangements,21/11/2011 | Law passed
33,Green Electricity Act,"The Act aims to support the production of electricity from renewable energy sources through subsidised feed-in tariffs and investment grants. For certain types of green electricity bonuses can be granted on top of the standard feed-in tariff, for example when electricity and heat from renewable sources are generated in a high efficiency co-generation installation. The Act specifies targets for energy from different renewable energy sources. For 2010-2020 the following targets are set: hydro 1,000 MW, wind 2,000 MW, photovoltaic 1,200 MW, biomass and biogas 200 MW.",legislative,Austria,AUT,,Energy Demand,29/07/2011 | Law passed ; 01/06/2017 | Last amended
34,Feed-in Tariff Decree,"The Decree determined new feed-in tariffs for renewable electricity, including electricity produced from wind, biomass, biogas, landfill and sewage gas, geothermal and solar. Contracts for wind energy, solar, landfill and sewage gas and geothermal energy last 13 years, while contracts for biomass and biogas last 15 years. The tariff rates fixed under the scheme vary between â‚¬0.05/KWh for electricity generated from landfill gas to â‚¬0.25/KWh for solar energy.",executive,Austria,AUT,,Energy Supply,30/12/2011 | Law passed
